age,job,job_type,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,annual_income,y
24,bank_employee,White-collar,married,slc,no,66661,no,yes,Ncell,3,jun,1115,5,15,3,not_contacted,168480,yes
21,government_job,White-collar,single,slc,no,50246,yes,no,field_visit,17,apr,700,1,-1,3,unsuccessful,142560,no
66,unemployed,Unemployed,divorced,slc,no,6829,yes,yes,unknown,6,mar,740,3,-1,2,not_contacted,21600,no
26,IT_professional,White-collar,married,+2,no,2797,yes,no,unknown,9,oct,668,4,5,2,successful,480000,no
41,teacher,White-collar,married,+2,no,41836,yes,no,unknown,28,jun,218,3,-1,4,not_contacted,288000,yes
46,shopkeeper,Business,divorced,+2,no,142827,yes,yes,unknown,17,oct,1147,1,-1,5,not_contacted,231000,no
36,teacher,White-collar,married,+2,yes,61559,no,no,Ncell,20,feb,809,3,5,5,not_contacted,288000,no
54,bank_employee,White-collar,divorced,bachelor,no,77771,no,no,NTC,18,nov,814,5,-1,5,not_contacted,686400,no
53,unemployed,Unemployed,divorced,+2,no,156136,yes,yes,Ncell,3,feb,240,3,-1,2,successful,33000,yes
66,IT_professional,White-collar,married,bachelor,no,102689,yes,no,NTC,29,may,365,5,-1,2,unsuccessful,768000,no
29,bank_employee,White-collar,married,slc,yes,121857,yes,yes,Ncell,15,jun,1137,4,-1,0,unsuccessful,280800,no
23,shopkeeper,Business,single,bachelor,no,76759,yes,no,unknown,24,feb,397,1,-1,0,not_contacted,201600,yes
52,shopkeeper,Business,single,+2,no,128996,yes,no,Ncell,16,jun,490,1,15,5,not_contacted,231000,no
20,IT_professional,White-collar,single,slc,no,96440,yes,no,field_visit,2,jan,997,5,-1,0,not_contacted,207360,no
66,driver,Blue-collar,married,bachelor,no,24069,no,no,NTC,23,aug,261,4,-1,4,not_contacted,288000,yes
26,unemployed,Unemployed,divorced,+2,no,133482,no,no,field_visit,15,jun,601,1,-1,5,not_contacted,30000,no
27,bank_employee,White-collar,single,bachelor,no,41143,yes,no,NTC,9,sep,541,4,-1,1,not_contacted,624000,no
43,private_office,White-collar,single,masters,no,59679,no,no,Ncell,17,apr,1156,3,-1,5,not_contacted,864000,no
22,unemployed,Unemployed,married,bachelor,no,128281,yes,no,Ncell,5,jun,937,3,15,4,not_contacted,28800,no
27,construction_worker,Blue-collar,single,slc,no,89444,yes,yes,Ncell,30,dec,291,4,-1,5,not_contacted,129600,no
20,driver,Blue-collar,married,+2,no,88674,no,no,Ncell,15,apr,510,3,-1,4,not_contacted,108000,no
38,government_job,White-collar,single,slc,no,64612,yes,yes,field_visit,3,oct,1134,3,-1,3,not_contacted,285120,no
44,teacher,White-collar,single,+2,no,46448,yes,no,NTC,29,aug,1067,2,-1,5,not_contacted,288000,yes
61,unemployed,Unemployed,single,+2,no,103844,no,no,unknown,10,dec,838,5,-1,1,not_contacted,30000,no
35,bank_employee,White-collar,divorced,slc,no,62794,yes,no,NTC,14,mar,310,5,-1,5,unsuccessful,336960,no
18,farmer,Business,married,masters,no,148839,yes,no,NTC,19,jan,1187,4,-1,1,not_contacted,216000,no
31,construction_worker,Blue-collar,married,slc,no,116495,yes,no,field_visit,14,mar,114,4,-1,0,not_contacted,129600,no
34,teacher,White-collar,divorced,bachelor,no,64224,yes,yes,Ncell,15,mar,132,5,-1,3,unsuccessful,384000,no
30,IT_professional,White-collar,married,bachelor,no,119945,no,no,Ncell,10,apr,649,1,-1,0,not_contacted,768000,no
65,bank_employee,White-collar,single,+2,no,78688,yes,yes,unknown,27,may,829,2,-1,2,not_contacted,390000,no
57,farmer,Business,married,+2,no,45079,no,no,unknown,27,jan,1184,2,-1,0,unsuccessful,150000,no
64,bank_employee,White-collar,divorced,bachelor,no,54609,yes,no,NTC,27,mar,442,1,-1,4,not_contacted,624000,no
19,bank_employee,White-collar,divorced,slc,no,131677,no,no,unknown,19,nov,725,4,-1,2,unsuccessful,168480,no
23,construction_worker,Blue-collar,married,slc,no,70791,yes,no,Ncell,4,dec,1097,1,-1,2,not_contacted,77760,no
22,shopkeeper,Business,married,+2,no,61162,no,yes,NTC,24,jun,716,5,-1,5,not_contacted,126000,no
66,shopkeeper,Business,married,+2,no,64743,yes,no,Ncell,6,jul,988,5,-1,0,not_contacted,210000,no
66,construction_worker,Blue-collar,single,bachelor,no,82675,yes,no,field_visit,21,jan,773,3,-1,1,not_contacted,288000,no
69,driver,Blue-collar,single,+2,no,74008,no,yes,Ncell,20,apr,816,5,-1,2,not_contacted,180000,no
42,unemployed,Unemployed,married,bachelor,no,156121,no,no,NTC,4,jul,842,5,15,3,unsuccessful,57600,no
39,farmer,Business,divorced,+2,no,66379,yes,yes,field_visit,4,feb,990,4,-1,1,not_contacted,180000,no
68,IT_professional,White-collar,divorced,bachelor,no,37115,yes,no,NTC,4,jul,454,3,-1,5,unsuccessful,768000,no
49,bank_employee,White-collar,divorced,+2,no,96174,yes,yes,unknown,15,jun,118,5,-1,1,not_contacted,429000,no
47,private_office,White-collar,married,slc,no,151260,no,no,field_visit,2,aug,659,2,-1,4,unsuccessful,237600,no
18,IT_professional,White-collar,single,slc,yes,104449,yes,no,Ncell,21,jan,1058,4,-1,1,not_contacted,207360,no
55,teacher,White-collar,married,masters,no,69821,yes,yes,unknown,28,oct,948,5,-1,3,unsuccessful,576000,no
21,unemployed,Unemployed,single,slc,no,111807,yes,no,NTC,31,apr,557,3,-1,0,not_contacted,12960,no
30,teacher,White-collar,married,slc,no,47834,yes,no,field_visit,8,jul,913,1,-1,3,not_contacted,172800,no
62,bank_employee,White-collar,divorced,+2,no,89046,yes,no,unknown,31,jun,569,3,-1,4,not_contacted,390000,no
59,driver,Blue-collar,divorced,+2,no,120579,yes,no,NTC,15,jul,390,4,10,4,not_contacted,180000,no
28,teacher,White-collar,single,slc,no,129855,yes,no,unknown,6,nov,669,5,5,4,not_contacted,172800,no
